                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.006,                 3.0385,                 1.2415,                      0,                      0,                      0,                      0,                0.72232,                 2.8275,                0.98531,               9.35e-05,               9.35e-05,               9.35e-05
                      2,                0.92731,                 2.7519,                 1.1749,                0.02079,                0.63584,                0.04884,                0.04192,                0.76129,                 2.4413,                 1.0095,             0.00018348,             0.00018348,             0.00018348
                      3,                0.93282,                 2.5214,                 1.1896,                0.42657,                0.10668,                0.10754,                0.09087,                0.77113,                 2.0631,                 1.0528,              0.0002671,              0.0002671,              0.0002671
                      4,                 0.9323,                 2.3563,                 1.2082,                0.40033,                0.18633,                0.13658,                0.11418,                0.76927,                 1.9431,                 1.0481,             0.00025764,             0.00025764,             0.00025764
                      5,                0.92546,                 2.2431,                 1.2039,                0.37406,                0.21911,                0.20132,                0.17112,                0.74382,                 1.7043,                 1.0588,             0.00024819,             0.00024819,             0.00024819
                      6,                0.89119,                 2.1354,                 1.1821,                0.36225,                 0.2655,                0.24974,                 0.2117,                0.74496,                 1.6172,                 1.0499,             0.00023874,             0.00023874,             0.00023874
                      7,                0.90737,                 2.0965,                 1.1796,                0.43909,                0.29568,                0.29479,                0.25159,                0.72976,                 1.5602,                 1.0361,             0.00022929,             0.00022929,             0.00022929
                      8,                0.89426,                  1.971,                 1.1827,                0.47545,                0.34674,                0.34303,                 0.2917,                0.70579,                 1.4659,                 1.0301,             0.00021983,             0.00021983,             0.00021983
                      9,                0.91419,                 1.9273,                 1.1914,                0.46664,                0.34845,                 0.3763,                0.31997,                0.70219,                 1.4098,                 1.0328,             0.00021038,             0.00021038,             0.00021038
                     10,                0.85602,                 1.8675,                 1.1673,                0.48479,                0.42546,                0.46181,                0.39354,                0.70081,                 1.3134,                 1.0352,             0.00020093,             0.00020093,             0.00020093
                     11,                0.88371,                 1.7923,                 1.1845,                0.49352,                0.45891,                0.46637,                0.39843,                0.69831,                 1.2534,                 1.0469,             0.00019148,             0.00019148,             0.00019148
                     12,                0.87938,                 1.7279,                 1.1727,                0.64021,                0.45724,                0.53069,                0.45626,                0.68137,                 1.2033,                 1.0166,             0.00018202,             0.00018202,             0.00018202
                     13,                0.86206,                 1.6695,                 1.1531,                0.64525,                0.51121,                0.57495,                0.49569,                0.67175,                 1.1198,                 1.0054,             0.00017257,             0.00017257,             0.00017257
                     14,                0.83696,                 1.5822,                 1.1396,                0.57301,                0.56769,                0.58522,                0.50536,                0.67274,                 1.1122,                 1.0187,             0.00016312,             0.00016312,             0.00016312
                     15,                0.81767,                 1.5918,                  1.136,                0.63828,                0.59093,                0.62158,                0.53871,                0.66292,                 1.0343,                 1.0161,             0.00015367,             0.00015367,             0.00015367
                     16,                0.81755,                 1.5001,                  1.114,                0.64076,                0.57917,                0.62433,                0.54309,                0.65399,                 1.0013,                 1.0012,             0.00014421,             0.00014421,             0.00014421
                     17,                0.82211,                 1.5042,                 1.1426,                0.72924,                 0.5833,                0.66507,                0.57983,                0.64222,                0.94235,                 1.0035,             0.00013476,             0.00013476,             0.00013476
                     18,                0.82123,                   1.48,                 1.1433,                0.73842,                0.60728,                0.68539,                 0.5981,                0.64414,                0.90939,                0.99773,             0.00012531,             0.00012531,             0.00012531
                     19,                0.79768,                 1.4176,                 1.1339,                0.77352,                0.62894,                0.71024,                0.61957,                0.63362,                0.85916,                0.99597,             0.00011586,             0.00011586,             0.00011586
                     20,                0.78941,                 1.3929,                 1.1206,                0.74735,                0.63435,                0.71121,                0.62005,                0.62799,                0.85056,                0.99523,              0.0001064,              0.0001064,              0.0001064
                     21,                0.65109,                 1.2126,                 1.0127,                0.79339,                0.62505,                0.72128,                0.63142,                0.62999,                0.87939,                0.97941,              9.695e-05,              9.695e-05,              9.695e-05
                     22,                0.63046,                 1.1662,                 1.0071,                0.78844,                0.68487,                0.74743,                0.65911,                0.60982,                0.77972,                0.97959,             8.7498e-05,             8.7498e-05,             8.7498e-05
                     23,                0.61074,                 1.1402,                0.99171,                0.83139,                 0.6849,                0.77171,                 0.6804,                0.59962,                0.73378,                0.97603,             7.8045e-05,             7.8045e-05,             7.8045e-05
                     24,                0.60687,                 1.0887,                0.98663,                0.81734,                0.72708,                0.78855,                0.69775,                 0.5931,                0.70774,                0.96979,             6.8593e-05,             6.8593e-05,             6.8593e-05
                     25,                0.61798,                 1.0713,                0.98199,                0.82686,                0.72297,                 0.7971,                0.70575,                0.58334,                0.68986,                0.96766,              5.914e-05,              5.914e-05,              5.914e-05
                     26,                0.61322,                 1.0371,                 1.0019,                 0.8397,                0.73432,                0.81398,                0.72111,                0.58112,                0.66651,                0.96522,             4.9688e-05,             4.9688e-05,             4.9688e-05
                     27,                0.60422,                 1.0281,                0.97948,                0.82114,                0.75088,                0.82025,                0.72964,                0.57164,                0.65188,                0.95779,             4.0235e-05,             4.0235e-05,             4.0235e-05
                     28,                0.59486,                0.99225,                0.97388,                0.85173,                0.73322,                0.82286,                0.73324,                0.57095,                0.64233,                0.95459,             3.0783e-05,             3.0783e-05,             3.0783e-05
                     29,                0.57745,                0.99314,                0.97121,                0.83508,                0.76282,                0.82809,                0.73757,                0.57049,                0.63488,                0.95575,              2.133e-05,              2.133e-05,              2.133e-05
                     30,                0.58406,                0.98684,                0.97281,                0.84281,                0.75739,                0.83343,                0.74387,                0.56755,                0.62623,                0.95494,             1.1878e-05,             1.1878e-05,             1.1878e-05
